Nome do Produto,Classifica√ß√£o do Produto,PreÁo do Produto (R$),Quantidade em Estoque,Filial,Data da Venda
Corretivo,Eletr√¥nicos,53.88,30,Filial 5,2022-10-04 03:29:53.201930
Blush em p√≥,Alimentos,39.43,2,Filial 5,2022-11-24 03:29:53.201930
L√°pis de sobrancelha,Eletrodom√©sticos,23.43,65,Filial 9,2023-08-10 03:29:53.201930
Blush em p√≥,Roupas,59.51,91,Filial 8,2023-03-29 03:29:53.201930
L√°pis de sobrancelha,Roupas,20.62,79,Filial 7,2022-11-26 03:29:53.201930
Sombra de olhos,Eletr√¥nicos,37.01,26,Filial 7,2023-02-28 03:29:53.201930
L√°pis de sobrancelha,Eletrodom√©sticos,3.11,3,Filial 2,2023-05-26 03:29:53.201930
M√°scara de c√≠lios,Eletr√¥nicos,76.93,76,Filial 1,2022-09-06 03:29:53.201930
Batom matte,Eletr√¥nicos,68.12,68,Filial 7,2023-02-17 03:29:53.201930
Base l√≠quida,Roupas,28.17,88,Filial 9,2023-05-26 03:29:53.201930
Blush em p√≥,Alimentos,63.72,57,Filial 2,2023-01-21 03:29:53.201930
Corretivo,Roupas,78.2,38,Filial 2,2023-05-26 03:29:53.201930
Sombra de olhos,Alimentos,53.32,54,Filial 10,2022-09-09 03:29:53.201930
Sombra de olhos,Eletrodom√©sticos,42.47,87,Filial 3,2023-04-26 03:29:53.201930
L√°pis de sobrancelha,Eletrodom√©sticos,88.94,21,Filial 3,2022-08-24 03:29:53.201930
Batom l√≠quido,Eletr√¥nicos,97.02,40,Filial 5,2022-10-21 03:29:53.201930
M√°scara de c√≠lios,Alimentos,48.21,62,Filial 10,2022-11-19 03:29:53.201930
Delineador l√≠quido,Alimentos,71.25,39,Filial 10,2022-10-28 03:29:53.201930
Sombra de olhos,Alimentos,85.97,25,Filial 3,2023-05-28 03:29:53.201930
Batom matte,Eletr√¥nicos,97.59,85,Filial 7,2023-06-21 03:29:53.201930
Sombra de olhos,Eletrodom√©sticos,94.19,40,Filial 5,2023-04-13 03:29:53.201930
L√°pis de sobrancelha,Eletrodom√©sticos,49.4,32,Filial 7,2023-02-28 03:29:53.201930
Sombra de olhos,Roupas,19.12,12,Filial 8,2023-05-02 03:29:53.201930
Sombra de olhos,Roupas,33.01,15,Filial 8,2023-05-27 03:29:53.201930
P√≥ compacto,Eletr√¥nicos,60.55,56,Filial 6,2023-01-30 03:29:53.201930
Sombra de olhos,Roupas,80.55,48,Filial 1,2023-01-09 03:29:53.201930
Sombra de olhos,Eletrodom√©sticos,65.57,98,Filial 6,2023-02-04 03:29:53.201930
M√°scara de c√≠lios,Eletrodom√©sticos,50.72,66,Filial 4,2023-08-07 03:29:53.201930
Corretivo,Eletrodom√©sticos,3.97,23,Filial 6,2023-01-21 03:29:53.201930
M√°scara de c√≠lios,Eletr√¥nicos,97.04,55,Filial 6,2022-12-17 03:29:53.201930
M√°scara de c√≠lios,Roupas,54.48,10,Filial 9,2022-11-28 03:29:53.201930
Base l√≠quida,Eletrodom√©sticos,30.42,98,Filial 6,2022-11-27 03:29:53.201930
M√°scara de c√≠lios,Eletrodom√©sticos,70.3,31,Filial 3,2023-06-08 03:29:53.201930
P√≥ compacto,Roupas,43.75,94,Filial 7,2023-08-01 03:29:53.201930
Blush em p√≥,Eletrodom√©sticos,14.78,24,Filial 2,2023-07-19 03:29:53.201930
Base l√≠quida,Eletr√¥nicos,78.35,57,Filial 8,2022-10-28 03:29:53.201930
P√≥ compacto,Alimentos,11.1,42,Filial 4,2022-09-12 03:29:53.201930
L√°pis de sobrancelha,Roupas,61.93,4,Filial 1,2023-02-17 03:29:53.201930
L√°pis de sobrancelha,Alimentos,7.51,17,Filial 7,2022-11-21 03:29:53.201930
Batom l√≠quido,Eletr√¥nicos,31.49,12,Filial 5,2022-10-03 03:29:53.201930
Delineador l√≠quido,Eletr√¥nicos,69.94,21,Filial 2,2023-01-03 03:29:53.201930
Corretivo,Alimentos,13.72,84,Filial 9,2023-01-27 03:29:53.201930
M√°scara de c√≠lios,Alimentos,20.34,36,Filial 1,2022-11-26 03:29:53.201930
L√°pis de sobrancelha,Roupas,77.92,1,Filial 1,2023-08-17 03:29:53.201930
Delineador l√≠quido,Eletr√¥nicos,17.4,100,Filial 9,2022-09-13 03:29:53.201930
Sombra de olhos,Eletrodom√©sticos,17.88,28,Filial 1,2023-05-02 03:29:53.201930
Blush em p√≥,Eletr√¥nicos,99.37,28,Filial 2,2022-09-16 03:29:53.201930
Corretivo,Roupas,62.86,11,Filial 8,2022-10-22 03:29:53.201930
Base l√≠quida,Roupas,95.77,15,Filial 4,2023-04-08 03:29:53.201930
Corretivo,Eletrodom√©sticos,67.56,34,Filial 10,2023-01-13 03:29:53.201930
Blush em p√≥,Eletrodom√©sticos,1.28,58,Filial 8,2022-10-15 03:29:53.201930
Blush em p√≥,Eletr√¥nicos,35.28,13,Filial 4,2023-07-24 03:29:53.201930
Corretivo,Alimentos,9.06,58,Filial 3,2022-11-13 03:29:53.201930
Blush em p√≥,Eletrodom√©sticos,3.25,50,Filial 5,2022-09-14 03:29:53.201930
Delineador l√≠quido,Eletr√¥nicos,92.07,83,Filial 4,2023-04-17 03:29:53.201930
Batom matte,Eletrodom√©sticos,72.71,22,Filial 8,2022-08-29 03:29:53.201930
Blush em p√≥,Eletr√¥nicos,90.0,72,Filial 4,2023-06-07 03:29:53.201930
Delineador l√≠quido,Roupas,68.95,21,Filial 8,2022-08-24 03:29:53.201930
Corretivo,Roupas,50.17,95,Filial 10,2023-06-29 03:29:53.201930
Corretivo,Alimentos,28.62,67,Filial 1,2023-05-30 03:29:53.201930
P√≥ compacto,Eletrodom√©sticos,59.79,71,Filial 1,2023-01-05 03:29:53.201930
L√°pis de sobrancelha,Eletrodom√©sticos,42.19,43,Filial 10,2023-06-25 03:29:53.201930
P√≥ compacto,Eletr√¥nicos,85.49,88,Filial 8,2023-06-21 03:29:53.201930
L√°pis de sobrancelha,Roupas,35.87,54,Filial 1,2023-05-16 03:29:53.201930
L√°pis de sobrancelha,Eletr√¥nicos,5.4,94,Filial 5,2023-05-28 03:29:53.201930
Batom matte,Alimentos,23.22,2,Filial 1,2022-10-19 03:29:53.201930
Delineador l√≠quido,Eletr√¥nicos,45.72,85,Filial 8,2022-12-07 03:29:53.201930
M√°scara de c√≠lios,Eletrodom√©sticos,46.93,58,Filial 6,2022-09-15 03:29:53.201930
Sombra de olhos,Eletrodom√©sticos,56.52,34,Filial 8,2023-02-25 03:29:53.201930
L√°pis de sobrancelha,Eletrodom√©sticos,41.01,23,Filial 5,2022-12-28 03:29:53.201930
Delineador l√≠quido,Eletrodom√©sticos,49.46,85,Filial 8,2022-11-24 03:29:53.201930
Batom matte,Eletr√¥nicos,66.43,10,Filial 9,2023-08-11 03:29:53.201930
Delineador l√≠quido,Alimentos,29.32,90,Filial 10,2022-10-24 03:29:53.201930
L√°pis de sobrancelha,Roupas,40.45,100,Filial 8,2022-11-01 03:29:53.201930
P√≥ compacto,Eletr√¥nicos,36.5,67,Filial 5,2023-07-11 03:29:53.201930
M√°scara de c√≠lios,Alimentos,52.99,11,Filial 5,2023-05-04 03:29:53.201930
P√≥ compacto,Eletrodom√©sticos,74.17,50,Filial 3,2023-04-12 03:29:53.201930
Sombra de olhos,Alimentos,66.97,6,Filial 4,2023-04-23 03:29:53.201930
M√°scara de c√≠lios,Eletr√¥nicos,95.9,77,Filial 3,2023-02-27 03:29:53.201930
M√°scara de c√≠lios,Eletrodom√©sticos,71.37,98,Filial 6,2023-03-12 03:29:53.201930
Corretivo,Roupas,89.63,97,Filial 5,2023-06-07 03:29:53.201930
Batom matte,Alimentos,31.18,97,Filial 5,2023-06-19 03:29:53.201930
Batom l√≠quido,Alimentos,23.22,56,Filial 8,2022-11-19 03:29:53.201930
Delineador l√≠quido,Eletrodom√©sticos,42.26,78,Filial 10,2023-04-16 03:29:53.201930
Batom matte,Roupas,9.38,25,Filial 8,2022-09-04 03:29:53.201930
L√°pis de sobrancelha,Eletrodom√©sticos,64.76,80,Filial 2,2023-01-28 03:29:53.201930
Delineador l√≠quido,Alimentos,64.75,41,Filial 3,2023-06-17 03:29:53.201930
Blush em p√≥,Alimentos,46.02,15,Filial 5,2023-07-01 03:29:53.201930
P√≥ compacto,Roupas,98.55,68,Filial 2,2023-07-08 03:29:53.201930
P√≥ compacto,Eletrodom√©sticos,64.72,26,Filial 3,2023-04-02 03:29:53.201930
Batom matte,Eletrodom√©sticos,94.95,96,Filial 8,2022-10-18 03:29:53.201930
P√≥ compacto,Roupas,40.11,34,Filial 6,2023-06-08 03:29:53.201930
Blush em p√≥,Alimentos,71.44,36,Filial 1,2023-07-24 03:29:53.201930
L√°pis de sobrancelha,Alimentos,9.54,53,Filial 8,2023-05-11 03:29:53.201930
Base l√≠quida,Eletrodom√©sticos,14.67,45,Filial 1,2022-09-21 03:29:53.201930
L√°pis de sobrancelha,Alimentos,44.03,97,Filial 3,2023-07-25 03:29:53.201930
Batom l√≠quido,Eletrodom√©sticos,12.86,22,Filial 9,2023-06-17 03:29:53.201930
Batom matte,Eletr√¥nicos,32.67,55,Filial 1,2023-05-20 03:29:53.201930
L√°pis de sobrancelha,Alimentos,85.42,56,Filial 9,2023-01-05 03:29:53.201930
M√°scara de c√≠lios,Roupas,65.23,83,Filial 2,2023-07-16 03:29:53.201930
Base l√≠quida,Roupas,88.19,35,Filial 4,2022-10-12 03:29:53.201930
Blush em p√≥,Roupas,40.29,88,Filial 9,2023-06-28 03:29:53.201930
M√°scara de c√≠lios,Alimentos,23.92,67,Filial 1,2023-06-11 03:29:53.201930
Batom l√≠quido,Eletrodom√©sticos,29.57,8,Filial 10,2023-05-22 03:29:53.201930
Corretivo,Roupas,34.49,95,Filial 2,2023-05-26 03:29:53.201930
Corretivo,Alimentos,84.99,47,Filial 6,2022-12-26 03:29:53.201930
P√≥ compacto,Eletr√¥nicos,14.71,9,Filial 7,2022-11-19 03:29:53.201930
Sombra de olhos,Eletr√¥nicos,41.53,61,Filial 4,2023-02-10 03:29:53.201930
Batom matte,Eletr√¥nicos,82.73,3,Filial 3,2023-06-25 03:29:53.201930
M√°scara de c√≠lios,Eletrodom√©sticos,33.7,77,Filial 3,2022-12-20 03:29:53.201930
P√≥ compacto,Eletrodom√©sticos,78.95,66,Filial 7,2023-08-02 03:29:53.201930
Corretivo,Roupas,47.76,72,Filial 8,2023-01-24 03:29:53.201930
Delineador l√≠quido,Alimentos,17.04,79,Filial 9,2023-02-02 03:29:53.201930
Sombra de olhos,Alimentos,55.51,70,Filial 5,2023-06-02 03:29:53.201930
Batom l√≠quido,Eletr√¥nicos,29.12,22,Filial 6,2023-01-30 03:29:53.201930
Sombra de olhos,Eletr√¥nicos,59.36,31,Filial 2,2022-10-17 03:29:53.201930
Delineador l√≠quido,Roupas,4.45,43,Filial 7,2023-03-26 03:29:53.201930
P√≥ compacto,Roupas,19.28,65,Filial 3,2023-04-21 03:29:53.201930
Corretivo,Eletr√¥nicos,68.64,29,Filial 7,2023-06-19 03:29:53.201930
M√°scara de c√≠lios,Eletrodom√©sticos,4.7,23,Filial 1,2023-03-02 03:29:53.201930
M√°scara de c√≠lios,Eletrodom√©sticos,34.69,3,Filial 1,2022-09-04 03:29:53.201930
Blush em p√≥,Eletr√¥nicos,25.88,76,Filial 10,2023-04-19 03:29:53.201930
M√°scara de c√≠lios,Eletr√¥nicos,89.83,34,Filial 6,2023-08-03 03:29:53.201930
Batom l√≠quido,Roupas,72.39,51,Filial 7,2022-10-25 03:29:53.201930
Sombra de olhos,Roupas,49.85,51,Filial 4,2023-02-10 03:29:53.201930
Batom l√≠quido,Eletr√¥nicos,48.62,70,Filial 4,2023-05-31 03:29:53.201930
Delineador l√≠quido,Eletr√¥nicos,92.13,79,Filial 8,2022-11-13 03:29:53.201930
Batom l√≠quido,Eletr√¥nicos,8.45,71,Filial 8,2022-08-31 03:29:53.201930
Sombra de olhos,Eletrodom√©sticos,25.56,31,Filial 4,2023-03-22 03:29:53.201930
Batom l√≠quido,Eletr√¥nicos,23.94,51,Filial 10,2023-07-06 03:29:53.201930
Batom matte,Roupas,90.93,25,Filial 3,2023-03-09 03:29:53.201930
Blush em p√≥,Roupas,36.59,45,Filial 2,2023-03-21 03:29:53.201930
Sombra de olhos,Eletr√¥nicos,54.63,52,Filial 1,2023-02-09 03:29:53.201930
Delineador l√≠quido,Alimentos,69.68,57,Filial 1,2023-05-24 03:29:53.201930
Delineador l√≠quido,Eletr√¥nicos,36.83,9,Filial 6,2022-10-09 03:29:53.201930
Delineador l√≠quido,Alimentos,15.2,73,Filial 8,2022-08-23 03:29:53.201930
L√°pis de sobrancelha,Roupas,30.78,78,Filial 5,2022-12-14 03:29:53.201930
Batom matte,Eletrodom√©sticos,33.24,100,Filial 10,2022-12-07 03:29:53.201930
Blush em p√≥,Eletr√¥nicos,31.06,17,Filial 1,2023-08-04 03:29:53.201930
Blush em p√≥,Eletrodom√©sticos,89.58,66,Filial 5,2023-02-18 03:29:53.201930
Blush em p√≥,Eletr√¥nicos,56.26,98,Filial 1,2023-02-06 03:29:53.201930
Blush em p√≥,Alimentos,66.85,45,Filial 5,2023-06-24 03:29:53.201930
Batom l√≠quido,Alimentos,37.27,72,Filial 9,2023-08-12 03:29:53.201930
Batom l√≠quido,Eletrodom√©sticos,33.94,48,Filial 1,2023-04-29 03:29:53.201930
Corretivo,Eletrodom√©sticos,28.19,93,Filial 9,2023-03-14 03:29:53.201930
Base l√≠quida,Eletr√¥nicos,79.44,78,Filial 10,2023-02-05 03:29:53.201930
Delineador l√≠quido,Roupas,7.1,31,Filial 3,2023-01-24 03:29:53.201930
Delineador l√≠quido,Eletr√¥nicos,90.59,79,Filial 9,2023-02-12 03:29:53.201930
Base l√≠quida,Roupas,83.29,50,Filial 1,2023-08-14 03:29:53.201930
Batom l√≠quido,Eletrodom√©sticos,29.21,26,Filial 2,2022-11-10 03:29:53.201930
Sombra de olhos,Roupas,26.74,60,Filial 10,2023-01-19 03:29:53.201930
Batom l√≠quido,Roupas,98.96,89,Filial 8,2023-03-10 03:29:53.201930
Corretivo,Eletr√¥nicos,7.98,31,Filial 7,2023-04-06 03:29:53.201930
Base l√≠quida,Roupas,27.04,47,Filial 5,2023-05-22 03:29:53.201930
Corretivo,Eletrodom√©sticos,41.11,55,Filial 8,2023-01-17 03:29:53.201930
Corretivo,Roupas,20.8,48,Filial 10,2023-07-20 03:29:53.201930
Corretivo,Alimentos,62.62,15,Filial 8,2022-08-30 03:29:53.201930
Base l√≠quida,Roupas,23.01,87,Filial 1,2023-06-28 03:29:53.201930
M√°scara de c√≠lios,Eletr√¥nicos,62.35,6,Filial 8,2022-11-16 03:29:53.201930
Delineador l√≠quido,Roupas,68.58,39,Filial 4,2023-05-23 03:29:53.201930
Base l√≠quida,Roupas,24.6,37,Filial 9,2023-01-30 03:29:53.201930
M√°scara de c√≠lios,Eletrodom√©sticos,99.36,87,Filial 2,2022-09-27 03:29:53.201930
Delineador l√≠quido,Eletr√¥nicos,97.84,92,Filial 9,2022-12-11 03:29:53.201930
Delineador l√≠quido,Roupas,76.12,94,Filial 8,2023-04-01 03:29:53.201930
L√°pis de sobrancelha,Eletr√¥nicos,46.58,23,Filial 6,2022-09-13 03:29:53.201930
Batom matte,Eletrodom√©sticos,10.12,81,Filial 8,2023-03-15 03:29:53.201930
Corretivo,Eletr√¥nicos,71.63,9,Filial 6,2023-01-19 03:29:53.201930
Batom l√≠quido,Eletr√¥nicos,19.47,28,Filial 2,2022-12-09 03:29:53.201930
Base l√≠quida,Eletrodom√©sticos,41.93,69,Filial 6,2022-10-19 03:29:53.201930
Blush em p√≥,Eletrodom√©sticos,45.83,40,Filial 7,2023-01-02 03:29:53.201930
Base l√≠quida,Eletrodom√©sticos,73.78,29,Filial 1,2022-08-25 03:29:53.201930
Delineador l√≠quido,Roupas,36.74,21,Filial 4,2022-09-05 03:29:53.201930
Batom matte,Roupas,69.84,41,Filial 5,2023-01-26 03:29:53.201930
M√°scara de c√≠lios,Alimentos,72.18,58,Filial 5,2022-10-17 03:29:53.201930
M√°scara de c√≠lios,Eletrodom√©sticos,37.77,4,Filial 4,2023-07-14 03:29:53.201930
Base l√≠quida,Alimentos,39.86,95,Filial 7,2023-02-02 03:29:53.201930
M√°scara de c√≠lios,Eletr√¥nicos,20.21,88,Filial 9,2023-02-28 03:29:53.201930
Corretivo,Alimentos,88.61,46,Filial 10,2023-05-26 03:29:53.201930
L√°pis de sobrancelha,Roupas,75.26,73,Filial 1,2022-10-09 03:29:53.201930
P√≥ compacto,Alimentos,26.38,32,Filial 10,2023-01-12 03:29:53.201930
P√≥ compacto,Alimentos,95.24,3,Filial 5,2023-07-24 03:29:53.201930
Base l√≠quida,Eletrodom√©sticos,82.0,58,Filial 7,2022-10-02 03:29:53.201930
P√≥ compacto,Alimentos,25.54,50,Filial 1,2023-07-12 03:29:53.201930
L√°pis de sobrancelha,Alimentos,42.28,21,Filial 3,2023-08-07 03:29:53.201930
M√°scara de c√≠lios,Eletrodom√©sticos,55.1,32,Filial 9,2023-06-12 03:29:53.201930
Delineador l√≠quido,Alimentos,86.62,39,Filial 5,2023-04-13 03:29:53.201930
Blush em p√≥,Alimentos,42.99,22,Filial 10,2023-07-16 03:29:53.201930
Sombra de olhos,Eletrodom√©sticos,24.28,80,Filial 10,2023-05-13 03:29:53.201930
Corretivo,Alimentos,59.56,61,Filial 4,2023-07-20 03:29:53.201930
Batom l√≠quido,Eletrodom√©sticos,48.34,15,Filial 9,2023-04-07 03:29:53.201930
Batom matte,Eletrodom√©sticos,18.3,43,Filial 6,2023-04-06 03:29:53.201930
Blush em p√≥,Alimentos,46.98,32,Filial 7,2022-10-01 03:29:53.201930
Base l√≠quida,Alimentos,45.79,87,Filial 3,2022-10-07 03:29:53.201930
M√°scara de c√≠lios,Alimentos,7.49,40,Filial 8,2023-01-04 03:29:53.201930
L√°pis de sobrancelha,Roupas,22.08,75,Filial 4,2023-04-04 03:29:53.201930
Blush em p√≥,Alimentos,49.65,46,Filial 7,2023-07-09 03:29:53.201930
Batom l√≠quido,Roupas,44.01,28,Filial 10,2023-07-27 03:29:53.201930
Delineador l√≠quido,Eletr√¥nicos,45.08,56,Filial 10,2023-06-26 03:29:53.201930
Batom l√≠quido,Eletr√¥nicos,43.19,31,Filial 6,2022-11-26 03:29:53.201930
Batom matte,Eletrodom√©sticos,91.87,73,Filial 8,2023-06-17 03:29:53.201930
Batom l√≠quido,Eletrodom√©sticos,40.66,54,Filial 2,2022-12-14 03:29:53.201930
Batom l√≠quido,Alimentos,62.31,100,Filial 10,2023-01-20 03:29:53.201930
Batom matte,Alimentos,64.11,47,Filial 2,2023-01-08 03:29:53.201930
Batom matte,Alimentos,28.06,95,Filial 5,2022-11-24 03:29:53.201930
Sombra de olhos,Alimentos,6.41,7,Filial 3,2023-03-06 03:29:53.201930
Blush em p√≥,Eletr√¥nicos,31.15,27,Filial 10,2023-04-09 03:29:53.201930
Base l√≠quida,Eletrodom√©sticos,35.08,37,Filial 9,2023-07-26 03:29:53.201930
Batom l√≠quido,Eletr√¥nicos,72.48,85,Filial 10,2023-04-02 03:29:53.201930
Batom matte,Alimentos,20.39,33,Filial 7,2023-04-06 03:29:53.201930
Sombra de olhos,Eletrodom√©sticos,98.98,74,Filial 5,2022-10-06 03:29:53.201930
Batom matte,Eletrodom√©sticos,57.36,22,Filial 9,2023-06-28 03:29:53.201930
Corretivo,Alimentos,16.09,27,Filial 5,2023-07-05 03:29:53.201930
L√°pis de sobrancelha,Alimentos,6.01,62,Filial 3,2022-10-25 03:29:53.201930
Delineador l√≠quido,Eletr√¥nicos,39.17,32,Filial 7,2023-05-23 03:29:53.201930
Corretivo,Alimentos,47.26,78,Filial 4,2022-11-09 03:29:53.201930
P√≥ compacto,Roupas,70.06,8,Filial 10,2023-01-13 03:29:53.201930
L√°pis de sobrancelha,Eletr√¥nicos,76.88,25,Filial 5,2023-08-11 03:29:53.201930
Blush em p√≥,Roupas,23.12,83,Filial 10,2023-07-24 03:29:53.201930
M√°scara de c√≠lios,Alimentos,14.17,26,Filial 9,2023-06-26 03:29:53.201930
P√≥ compacto,Eletr√¥nicos,19.65,63,Filial 3,2022-12-22 03:29:53.201930
Batom matte,Alimentos,98.44,97,Filial 10,2022-08-31 03:29:53.201930
Corretivo,Alimentos,2.22,21,Filial 8,2023-08-16 03:29:53.201930
Sombra de olhos,Roupas,73.59,51,Filial 2,2022-12-03 03:29:53.201930
L√°pis de sobrancelha,Roupas,12.49,31,Filial 5,2022-09-22 03:29:53.201930
Batom matte,Eletr√¥nicos,50.23,98,Filial 2,2023-04-12 03:29:53.201930
P√≥ compacto,Roupas,55.22,95,Filial 8,2022-12-05 03:29:53.201930
Delineador l√≠quido,Alimentos,19.59,29,Filial 4,2022-12-27 03:29:53.201930
Corretivo,Alimentos,17.73,5,Filial 4,2023-01-10 03:29:53.201930
Batom matte,Eletrodom√©sticos,46.13,18,Filial 9,2023-05-20 03:29:53.201930
Base l√≠quida,Eletr√¥nicos,73.25,1,Filial 2,2022-09-13 03:29:53.201930
Batom matte,Eletr√¥nicos,34.36,61,Filial 7,2022-11-17 03:29:53.201930
Batom matte,Alimentos,60.63,7,Filial 2,2022-10-11 03:29:53.201930
Batom l√≠quido,Alimentos,76.3,22,Filial 8,2022-09-02 03:29:53.201930
L√°pis de sobrancelha,Eletrodom√©sticos,15.97,74,Filial 6,2022-09-04 03:29:53.201930
Blush em p√≥,Alimentos,81.16,49,Filial 7,2023-02-06 03:29:53.201930
Base l√≠quida,Roupas,76.99,69,Filial 10,2023-07-17 03:29:53.201930
L√°pis de sobrancelha,Roupas,59.54,92,Filial 8,2023-03-01 03:29:53.201930
M√°scara de c√≠lios,Eletr√¥nicos,98.36,77,Filial 3,2023-05-04 03:29:53.201930
M√°scara de c√≠lios,Alimentos,3.12,71,Filial 1,2023-05-31 03:29:53.201930
Corretivo,Roupas,12.74,69,Filial 9,2023-08-09 03:29:53.201930
Sombra de olhos,Eletrodom√©sticos,66.0,15,Filial 7,2022-10-07 03:29:53.201930
Blush em p√≥,Eletrodom√©sticos,97.64,58,Filial 10,2022-11-26 03:29:53.201930
Batom l√≠quido,Alimentos,1.02,63,Filial 9,2023-06-01 03:29:53.201930
M√°scara de c√≠lios,Alimentos,36.58,56,Filial 2,2023-08-21 03:29:53.201930
Blush em p√≥,Roupas,79.1,80,Filial 2,2022-11-29 03:29:53.201930
Sombra de olhos,Alimentos,77.91,87,Filial 8,2023-03-18 03:29:53.201930
Blush em p√≥,Alimentos,69.64,96,Filial 5,2022-09-07 03:29:53.201930
Batom l√≠quido,Eletr√¥nicos,88.56,10,Filial 3,2023-07-31 03:29:53.201930
Batom matte,Eletr√¥nicos,94.93,30,Filial 4,2022-11-09 03:29:53.201930
Base l√≠quida,Roupas,90.17,63,Filial 1,2023-08-20 03:29:53.201930
Blush em p√≥,Eletrodom√©sticos,16.75,32,Filial 2,2023-03-27 03:29:53.201930
M√°scara de c√≠lios,Eletr√¥nicos,72.21,88,Filial 1,2022-09-19 03:29:53.201930
L√°pis de sobrancelha,Alimentos,55.45,4,Filial 9,2022-10-11 03:29:53.201930
M√°scara de c√≠lios,Alimentos,46.44,35,Filial 8,2022-10-10 03:29:53.201930
M√°scara de c√≠lios,Eletrodom√©sticos,39.31,1,Filial 10,2023-07-08 03:29:53.201930
M√°scara de c√≠lios,Eletr√¥nicos,45.12,97,Filial 4,2023-05-28 03:29:53.201930
M√°scara de c√≠lios,Roupas,11.89,98,Filial 6,2022-11-20 03:29:53.201930
L√°pis de sobrancelha,Eletrodom√©sticos,96.57,73,Filial 1,2023-05-04 03:29:53.201930
Delineador l√≠quido,Roupas,81.92,46,Filial 8,2023-07-26 03:29:53.201930
Batom l√≠quido,Roupas,13.2,52,Filial 7,2023-01-15 03:29:53.201930
Base l√≠quida,Roupas,24.95,16,Filial 4,2022-08-26 03:29:53.201930
Sombra de olhos,Alimentos,69.21,86,Filial 4,2023-06-16 03:29:53.201930
Batom matte,Alimentos,59.63,53,Filial 10,2022-11-27 03:29:53.201930
P√≥ compacto,Alimentos,20.2,52,Filial 5,2023-01-05 03:29:53.201930
Delineador l√≠quido,Roupas,67.49,81,Filial 7,2023-04-15 03:29:53.201930
P√≥ compacto,Eletrodom√©sticos,99.62,49,Filial 7,2022-12-22 03:29:53.201930
Sombra de olhos,Eletrodom√©sticos,84.18,56,Filial 8,2022-10-09 03:29:53.201930
M√°scara de c√≠lios,Alimentos,39.63,68,Filial 9,2023-02-23 03:29:53.201930
P√≥ compacto,Roupas,44.93,16,Filial 8,2022-09-02 03:29:53.201930
Delineador l√≠quido,Alimentos,41.53,48,Filial 3,2022-09-22 03:29:53.201930
Corretivo,Alimentos,67.04,33,Filial 1,2023-03-18 03:29:53.201930
Sombra de olhos,Roupas,57.45,33,Filial 1,2022-12-26 03:29:53.201930
Delineador l√≠quido,Roupas,32.25,22,Filial 10,2023-02-04 03:29:53.201930
Corretivo,Roupas,50.54,59,Filial 6,2023-01-31 03:29:53.201930
Batom l√≠quido,Alimentos,91.25,51,Filial 10,2023-07-13 03:29:53.201930
Batom l√≠quido,Roupas,49.2,45,Filial 2,2023-01-20 03:29:53.201930
M√°scara de c√≠lios,Alimentos,93.07,16,Filial 5,2023-07-08 03:29:53.201930
L√°pis de sobrancelha,Alimentos,26.24,94,Filial 4,2023-04-01 03:29:53.201930
P√≥ compacto,Eletrodom√©sticos,14.06,16,Filial 6,2023-03-10 03:29:53.201930
Delineador l√≠quido,Eletr√¥nicos,54.02,14,Filial 6,2023-06-22 03:29:53.201930
Batom l√≠quido,Alimentos,24.01,7,Filial 10,2022-10-30 03:29:53.201930
Base l√≠quida,Alimentos,14.29,99,Filial 2,2023-01-27 03:29:53.201930
Batom matte,Roupas,41.88,80,Filial 3,2022-11-09 03:29:53.201930
P√≥ compacto,Eletrodom√©sticos,16.19,2,Filial 10,2023-03-31 03:29:53.201930
Sombra de olhos,Roupas,79.11,19,Filial 10,2022-10-28 03:29:53.201930
Delineador l√≠quido,Roupas,89.33,4,Filial 9,2023-01-19 03:29:53.201930
P√≥ compacto,Roupas,76.2,75,Filial 6,2022-11-18 03:29:53.201930
L√°pis de sobrancelha,Alimentos,54.85,26,Filial 7,2023-02-03 03:29:53.201930
Blush em p√≥,Eletr√¥nicos,92.82,68,Filial 2,2023-05-06 03:29:53.201930
Base l√≠quida,Alimentos,94.76,61,Filial 8,2022-09-01 03:29:53.201930
Batom l√≠quido,Eletrodom√©sticos,45.66,21,Filial 3,2023-07-14 03:29:53.201930
Batom matte,Eletrodom√©sticos,60.42,44,Filial 4,2022-10-22 03:29:53.201930
Corretivo,Alimentos,73.63,96,Filial 9,2022-10-02 03:29:53.201930
Corretivo,Eletr√¥nicos,78.24,5,Filial 2,2023-02-22 03:29:53.201930
Corretivo,Alimentos,15.67,47,Filial 8,2023-06-29 03:29:53.201930
P√≥ compacto,Roupas,63.88,55,Filial 1,2023-01-22 03:29:53.201930
Delineador l√≠quido,Alimentos,58.72,53,Filial 5,2023-08-11 03:29:53.201930
Batom l√≠quido,Eletr√¥nicos,71.38,92,Filial 2,2023-06-28 03:29:53.201930
Sombra de olhos,Alimentos,76.87,81,Filial 4,2022-10-17 03:29:53.201930
Batom matte,Alimentos,97.36,66,Filial 9,2023-06-18 03:29:53.201930
Batom l√≠quido,Eletrodom√©sticos,10.26,25,Filial 4,2022-08-29 03:29:53.201930
M√°scara de c√≠lios,Alimentos,71.37,66,Filial 3,2022-08-28 03:29:53.201930
M√°scara de c√≠lios,Roupas,17.74,49,Filial 6,2023-05-01 03:29:53.201930
